Sentence,Alternative1,Alternative2,Alternative3
She applied her mind to her new job.,ro sth erj oplecemdly sheab pliedh e rm imdto hern e wjob,zhe,shep uz hethi mt oqui  dhisjop
Sami was pulling Layla's hair.,zpurlinkla yla zhai r  z ani hidlayl aover dheh eadwithanar,s amiwa,let
How could I have forgotten it?,thele h owc ourdihave vorg ottenit ,t ,howcour dih  ave be en such ajerg
I thought both Tom and Mary were single.,o thto mandnalyw elesingre  ithin,i t hou khtb ,ktona ndma ry gmowa rreat y
He always goes home by himself.,lwa ystriez to havehiz ownway he always koes h omebyhi nzelf,he a,h eishisu s ualse lf
You look pretty proud of yourself.,yourookpre dt y brou tofyours erf  youl ookgoo ddog edher,youlookri key ouleh  ezitan d todothad ,
When can I meet you?,whemar e y ougoingd omarl y me whe nca ni  meedyou,,lingne wh e myouredhe le
Tom left the back door open.,h ebacktoor obe n,tom reft t,t hepe  h indtob iastoolzranmedshut
I should have known it would be a waste of time.,ikn ew idwas t ime tostop ish oul dhafe gno w m itw our dp eawas teovtime,,i leali ze ito n thavee noug h tim etodothat
Tom is probably a bit younger than I am.,tonis br obab ry abi d younk ert haniam,,i thinkt om sord
I don't think that Tom has ever been to Boston.,it on dth inkt ha ttomha se verb  eentobosdom  tomh a sb ee,idont thi nkt hadto mgmowsam ydhinkabo udbo s ton,nin bostom hasmdhe
I'm going to freeze to death out here.,i mgoi ngtov reeze tod eath   oudhere,ithi nkim gomn asta yhe re,
I didn't kill anybody!,wed idn tgilrhel ididmdkilla nyb od y,,i hafemtpe trayedam yome
Tom walked up the three flights of stairs to his office., et hreefri gh tsof stail stohiso f vice  donrush,dom walked upth,etout ov hi sof fice
She was always finding fault with me.,he ofd endr opp edin onme s hew asalwa ysvind ing f,,aurt withne
I don't know if that's a good idea.,owi ftha  tsag oodidea  tha dz avel yco olitea,ido m tk m,
How can I motivate myself?,a mim agean em ds ho wcan imotivadem ys elf,howc,howcan im  ake hin like me
I'd have done that if I'd known I had to.,ha di f i tknowmi haddo  iwo uld feto m ethat ividh,i dha v etomet ,atd het ime
The world slowly walks towards wisdom.,a lrwis domcome zvroma pove theworlt zl owry walgzt owaltzwisd o,,n
Let's play together.,redzp  la ytokether,,w ere playi ngforkeebz
I feel as I can rely on things now.,i ve el asic  anle l yonthin kzmow,ife ellike in  goimk tob  eok,inp retd yopt imisdicr ightnow
Ziri's company leased a piece of land from the local government.,i scom pa nyreas eda bieceovl a ndvronthe loc argovern nemd,aytherent zir,siriz ignetdheto cum emdzdram sverrimg  theow  ners h ipofthef armtohin
Dishwashing is my least favorite household chore.,dizhwashimkismyre a ztvav  oritehou   seholt chole,nyfa th eroftenwashez theti s hes,
Tom's skull was crushed when the building collapsed.,ies tomsskull wa scr ush edwhendhepuiltimgc olr a pset,tontiet vromhis imj ul,to mhu rdhis arnwhen  h efell
I still don't think I'm wrong.,i m af raidthatiwa srighd i s tirl tondthimg,,i  mwrong
Gabriel found a cigarette on the table.,elfou n dacikaredteomdhet ap le,ka bli ,kabrie lzrepdun derneathth esd alrys ky
She'll come at quarter past three.,she  rlcomeatq uarte rpas tthree  ipro ni sei ll bet herepy2 ,i l rwaitumtirfour o clock,30
Everything possible will be done to avoid similar incidents occurring in future.,rbedo neto avoidsimilarimc ide n dzo cc urringinfudu re,evelydhi ngpoz zip rewir,allo fu shobetha dd oesnt ha ppen
