word,phonetic_alterntive
oak,owk
sorrow,saarow
kilograms,kihlahgraemz
taxi,taeksiy
beth,behth
fond,faand
division,dihvihzhahn
potential,pahtehnshahl
olympics,owlihmpihks
broker,browker
objects,aabjhehkts
surly,serliy
sucker,sahker
admitted,ahdmihtahd
quietly,kwayahtliy
overtaken,owverteykahn
rubbing,rahbihng
kissing,kihsihng
fatter,faeter
pretty,prihtiy
libya,lihbiyah
faces,feysahz
hyperinflation,hhayperihnfleyshahn
unlike,ahnlayk
attractions,ahtraekshahnz
transvestites,traenzvehstayts
pour,paor
biro,bihrow
jane,jheyn
dismissal,dihsmihsahl
courageous,kereyjhahs
roots,ruwts
estate,ihsteyt
squirrels,skwerahlz
licenses,laysahnsihz
astray,ahstrey
disco,dihskow
necklace,nehklahs
democratic,dehmahkraetihk
over,owver
encouraged,ehnkerihjhd
plundering,plahnderihng
displeased,dihspliyzd
disappeared,dihsahpihrd
company,kahmpahniy
expertise,ehkspertiyz
equal,iykwahl
unknown,ahnnown
contain,kahnteyn
goodnight,guhdnayt
grandmother,graendmahdher
spiderman,spaydermaen
overlap,owverlaep
sanctuary,saengkchuwehriy
cave,keyv
league,liyg
base,beys
delinquents,dihlihngkwahnts
pulled,puhld
distance,dihstahns
press,prehs
impressionable,ihmprehshahnahbahl
flash,flaesh
clearly,klihrliy
losers,luwzerz
axis,aeksahs
limit,lihmaht
compulsive,kahmpahlsihv
judged,jhahjhd
owl,awl
renovate,rehnahveyt
protect,prahtehkt
odds,aadz
turkish,terkihsh
buy,bay
pole,powl
significant,sahgnihfihkahnt
chubby,chahbiy
breaking,breykihng
advanced,ahdvaenst
differently,dihfrahntliy
fake,feyk
accomplish,ahkaamplihsh
burned,bernd
yeti,yehtiy
jessica,jhehsihkah
poultry,powltriy
swims,swihmz
father,faadher
nato,neytow
maul,maol
hollow,hhaalow
properly,praaperliy
customary,kahstahmehriy
shelves,shehlvz
battery,baeteriy
herbal,erbahl
lingua,lihnggwah
bust,bahst
seems,siymz
height,hhayt
disembodied,dihsihbaadiyd
stern,stern
gabriel,geybriyahl
gods,gaadz
thee,dhiy
missions,mihshahnz
planning,plaenihng
italy,ihtahliy
crosses,kraosihz
wearing,wehrihng
pay,pey
angela,aenjhahlah
olive,aalahv
edmundo,ehdmahndow
venus,viynahs
park,paark
trying,trayihng
illness,ihlnahs
vaccine,vaeksiyn
mass,maes
united,yuwnaytahd
humiliate,hhyuwmihliyeyt
insolent,ihnsahlahnt
hindered,hhihnderd
joke,jhowk
downward,dawnwerd
asian,eyzhahn
jury,jhuhriy
flocks,flaaks
announcement,ahnawnsmahnt
differs,dihferz
beaten,biytahn
wealth,wehlth
makes,meyks
beauty,byuwtiy
interfere,ihnterfihr
wished,wihsht
bedrooms,behdruwmz
bottom,baatahm
ben,behn
idealized,aydiyahlayzd
loaded,lowdahd
